GSE,title,oragnism,dataset_type,platform,number_of_samples,ftp,sra_run_selector,bioproject
GSE139238,High-Throughput Translational Profiling with riboPLATE-seq,Homo sapiens,,GPL21697,27,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139238/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA578863,PRJNA578863
GSE190954,Global cell-free analysis of translation using INRI-seq,Escherichia coli K-12,,GPL24020,26,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190954/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA789173,PRJNA789173
GSE185286,RNA Sequencing and Ribosome profiling of GIR2 and PUB1 knockout yeast strains.,Saccharomyces cerevisiae,,GPL26302,26,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185286/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA768456,PRJNA768456
GSE167704,Ribosome profiling experiments of LRRK2 mouse models,Mus musculus,,GPL13112,26,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE167nnn/GSE167704/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA705181,PRJNA705181
GSE136091,Translation elongation factor 2 depletion by siRNA in mouse liver leads to mTOR-independent translational upregulation of ribosomal protein genes,Mus musculus,,GPL17021,26,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136091/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA561206,PRJNA561206
GSE149973,Decoding SARS-CoV-2 coding capacity,Severe acute respiratory syndrome coronavirus 2; Chlorocebus aethiops aethiops; Homo sapiens,,"['GPL28867', 'GPL28866']",26,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149973/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA630716,PRJNA630716
GSE147324,Nuclease-mediated depletion biases in ribosome footprint profiling libraries,Homo sapiens,,GPL16791,26,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147324/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA613736,PRJNA613736
GSE138638,Stop Codon Context Influences Genome-Wide Stimulation of Termination Codon Readthrough by Aminoglycosides [Dataset 1],Homo sapiens,,GPL16791,26,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138638/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA576649,PRJNA576649
GSE124280,The RNA-binding protein HuR is a negative regulator in adipogenesis,Mus musculus,,['GPL13112'],26,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124280/,,
GSE94454,Selective stalling of human translation through small molecule engagement of the ribosome nascent chain,Homo sapiens,,['GPL11154'],26,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94454/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA369742,PRJNA369742
GSE79804,A conserved abundant cytoplasmic long noncoding RNA modulates repression of mRNAs by Pumilio proteins in human cells,Homo sapiens,,['GPL9115'],26,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79804/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA317019,PRJNA317019
GSE52864,Developmental Timecourses total-RNA sequencing [Ribosome repleted total RNA],Caenorhabditis elegans,,GPL13657,26,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52864/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA230377,PRJNA230377
GSE128578,Ribosomal protein S7 ubiquitination during ER stress in yeast is associated with selective mRNA translation and stress outcome.,Saccharomyces cerevisiae,,GPL21656,25,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128578/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA528192,PRJNA528192
GSE124204,Hcr1/eIF3j is a 60S ribosomal subunit recycling accessory factor in vivo,Saccharomyces cerevisiae,,['GPL17342'],25,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124204/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA510985,PRJNA510985
GSE109343,Lso2 is a conserved ribosome-bound protein required for translational recovery in yeast,Saccharomyces cerevisiae,,"['GPL17342', 'GPL13821']",25,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109343/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA430526,PRJNA430526
GSE86214,YTHDF3 facilitates translation and decay of the N6-methyladenosine-modified RNA,Homo sapiens,,['GPL20301'],25,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86214/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA340948,PRJNA340948
GSE83731,mTAIL-seq reveals dynamic poly(A) tail regulation in oocyte-to-embryo development [RNA-seq and mTAIL-seq Human and Drosphila],Homo sapiens; Drosophila melanogaster,,['GPL15520'],25,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83731/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA326884,PRJNA326884
GSE51424,Cell type-specific ribosome profiling in vivo.,Homo sapiens; Mus musculus,,['GPL11154'],25,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51424/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA223060,PRJNA223060
GSE52968,Ribosome profiling study of dom34 and hbs1 knockout strains using short (16-nt) and long (28-nt) monosome-protected footprints and disome-protected footprints,Saccharomyces cerevisiae,,['GPL13821'],25,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52968/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA230577,PRJNA230577
GSE166744,eIF1-eIF4G1 inhibitors uncover alternative translation activation of stress-response genes via enhanced ribosome loading and 5’UTR translation,Homo sapiens,,['GPL18573'],24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE166nnn/GSE166744/,,
GSE174764,eIF2B-capturing viral protein NSs suppresses the integrated stress response,Homo sapiens,,GPL20301,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174764/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA731488,PRJNA731488
GSE135722,A p53-dependent translational program directs tissue-selective phenotypes in a model of ribosomopathies,Mus musculus,,GPL19057,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135722/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA559859,PRJNA559859
GSE158669,BCDIN3D RNA methyltransferase stimulates Aldolase C expression and glycolysis through let-7 microRNA in breast cancer cells,Homo sapiens,,GPL11154,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE158nnn/GSE158669/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA666167,PRJNA666167
GSE171748,Critical contribution of 3’ non-seed base pairing to the in vivo function of the evolutionarily conserved let-7a microRNA,Caenorhabditis elegans,,GPL19757,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171748/,,
GSE156535,The ribosome collision sensor Hel2 functions as preventive quality control in the secretory pathway,Saccharomyces cerevisiae,,GPL21656,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156535/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA658304,PRJNA658304
GSE142528,Sulfur-dependent translational regulation via methylation multiplicity of 18S rRNA,Saccharomyces cerevisiae,,GPL21656,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142528/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA597326,PRJNA597326
GSE167324,Analysis of the eIF4E3-dependent translatome after Torin1-induced stress in N2a cells ctrl and eIF4E3 KO,Mus musculus,,GPL21103,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE167nnn/GSE167324/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA704316,PRJNA704316
GSE163279,Anabolic effects of cheddar cheese consumption in human skeletal muscle,Homo sapiens,,GPL24676,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE163nnn/GSE163279/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA685484,PRJNA685484
GSE144539,Ribosome profiling and RNA-seq of Tsc2+/- hippocampal slices,Mus musculus,,GPL19057,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144539/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA603987,PRJNA603987
GSE142895,Robust partitioning of microRNA targets from downstream regulatory changes [RNA-seq],Homo sapiens,,GPL18573,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142895/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA598734,PRJNA598734
GSE140365,Robust partitioning of microRNA targets from downstream regulatory changes [PRO-seq],Homo sapiens,,GPL18573,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140365/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA589465,PRJNA589465
GSE126382,Modeling ribosome dwell times and relationship with tRNA loading and codon usage in mammals (tRNA Profiling),Mus musculus,,GPL17021,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126382/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA521743,PRJNA521743
GSE128345,"A large panel of isogenic APP and PSEN1 mutant human iPSC neurons reveals shared endosomal abnormalities mediated by APP b-CTFs, not Ab",Homo sapiens,,GPL16791,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128345/,,
GSE129869,Ribo-seq of Toxoplasma-infected host cells,Toxoplasma gondii RH; Homo sapiens,,GPL26509,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129869/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA533074,PRJNA533074
GSE123611,Codon usage optimization in pluripotent embryonic stem cells,Homo sapiens,,['GPL16791'],24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123611/,,
GSE97286,Ribosome profiling in wild-type and APOBEC1-deficient BMDMs,Mus musculus,,GPL17021,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97286/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA381205,PRJNA381205
GSE113789,Ribosome profiling Seq of mouse adult cortex after acute stress,Mus musculus,,GPL21103,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113789/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA453992,PRJNA453992
GSE105082,RNA G-quadruplexes mark repressive upstream open reading frames in human mRNAs,Homo sapiens,,GPL18573,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE105nnn/GSE105082/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA414611,PRJNA414611
GSE106697,"Transcriptome and Translatome in Drosophila S2 cells treated by tsRNA transfection, serum deprivation, ago2 knockdown and rapamycin",Drosophila melanogaster,,['GPL17275'],24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106697/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA378597,PRJNA378597
GSE102040,Base-resolution mapping reveals distinct classes of N1-methyladenosine methylome in nuclear- and mitochondrial-encoded transcripts,Homo sapiens,,GPL16791,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102040/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA396456,PRJNA396456
GSE102890,Multiple RNA structures affect translation initiation and UGA redefinition efficiency during synthesis of selenoprotein p,Mus musculus,,GPL13112,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102890/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA399166,PRJNA399166
GSE89108,Integrative analysis of translatome and transcriptome of adipocytes,Mus musculus,,GPL17021,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89108/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA350300,PRJNA350300
GSE83351,"Rapid Genome-wide Recruitment of RNA Polymerase II Drives Transcription, Splicing and Translation Events during T Cell Responses",Mus musculus,,GPL17021,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83351/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA325659,PRJNA325659
GSE78959,Modeling the Neuropathology of Tuberous Sclerosis with Human Stem Cells Reveals a Role for Inflammation and Angiogenic Growth Factors [Cell Model],Homo sapiens,,GPL16791,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78959/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA314508,PRJNA314508
GSE74537,Biogenesis and function of tRNA fragments during sperm maturation and fertilization in mammals,Mus musculus,,GPL13112,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74537/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA300669,PRJNA300669
GSE66715,Integrated Transcriptome and Proteome Analyses Reveal Organ-Specific Proteome Deterioration in Old Rats,Rattus norvegicus,,GPL14844,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66715/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA277771,PRJNA277771
GSE68707,Genome-wide reprogramming of transcript architecture by temperature specifies the developmental states of the human pathogen Histoplasma,Histoplasma capsulatum,,GPL20173,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68707/,,
GSE59573,Translation Inhibitors Cause Abnormalities in Ribosome Profiling Experiments,Saccharomyces cerevisiae,,GPL13821,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59573/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA255669,PRJNA255669
GSE56372,Correcting Direct Effects of Ethanol on Translation and Transcription Machinery Confers Ethanol Tolerance in Bacteria [Ribosome_Profiling],Escherichia coli,,GPL14548,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56372/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA243254,PRJNA243254
GSE45366,Loss of a Conserved tRNA Anticodon Modification Perturbs Cellular Signaling,Saccharomyces cerevisiae,,GPL13272,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE45nnn/GSE45366/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA193543,PRJNA193543
GSE22004,Mammalian microRNAs predominantly act to decrease target mRNA levels,Homo sapiens; Mus musculus,,4 related Platforms,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22004/,,
GSE180208,Ribosome impairment regulates intestinal stem cell identity via ZAKɑ activation,Mus musculus,,GPL17021,23,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE180nnn/GSE180208/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA747022,PRJNA747022
GSE74509,Ribosome profiling of TGFb-treated cells indicates reduced leucine availability,Homo sapiens,,['GPL16791'],23,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74509/,,
GSE99787,Global mRNA translational landscapes in mouse bone-marrow-derived-macrophage-mediated response to LPS (lipopolysaccharide),Mus musculus,,GPL13112,23,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99787/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA389599,PRJNA389599
GSE70211,Rocaglamide A converts RNA helicase eIF4A into a sequence-specific translational repressor,Homo sapiens; synthetic construct,,['GPL11154'],23,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70211/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA287879,PRJNA287879
GSE134256,Experimental evolution reveals the genetic basis and systems biology of superoxide stress tolerance,Escherichia coli,,GPL21433,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134256/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA554579,PRJNA554579
GSE203078,Identification of DDX3X-dependent translation targets in the E11.5 mouse cortex,Mus musculus,,GPL24247,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE203nnn/GSE203078/,,
GSE151986,Low-input RNase footprinting to profile RNA translation,Homo sapiens,,GPL21290,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE151nnn/GSE151986/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA638018,PRJNA638018
GSE176058,Bi-directional ribosome scanning controls the stringency of start codon selection,Mus musculus; Homo sapiens,,"['GPL17021', 'GPL19057']",22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176058/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA734658,PRJNA734658
GSE149016,Selectivity of mRNA degradation by autophagy in yeast,Saccharomyces cerevisiae,,GPL21656,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149016/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA627130,PRJNA627130
GSE146675,Mutant huntingtin stalls ribosomes and represses protein synthesis in a cellular model of Huntington disease.,Mus musculus,,GPL19057,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE146nnn/GSE146675/,,
GSE129757,Whole transcriptome profiles and ribosome profiling of thapsigargin- and tunicamycin-treated LN308 cells,Homo sapiens,,GPL18573,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129757/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA532643,PRJNA532643
GSE129701,Super-enhancer redistribution as a mechanism of broad gene dysregulation in repeatedly drug-treated cancer cells [dataset 2],Homo sapiens,,GPL16791,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129701/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA532532,PRJNA532532
GSE129700,Super-enhancer redistribution as a mechanism of broad gene dysregulation in repeatedly drug-treated cancer cells [dataset 1],Homo sapiens,,GPL11154,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129700/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA532531,PRJNA532531
GSE118597,Transcriptome and translatome of Streptomyces avermitilis MA-4680,Streptomyces avermitilis,,GPL25453,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118597/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA486172,PRJNA486172
GSE114882,Nascent Polypeptide Domain Topology and Elongation Rate Direct the Cotranslational Hierarchy of Hsp70 and TRiC/CCT,Saccharomyces cerevisiae,,GPL21656,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114882/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA472972,PRJNA472972
GSE129924,Free circular introns with an unusual branchpoint in neuronal projections,Rattus norvegicus,,"['GPL18694', 'GPL22396']",22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129924/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA533159,PRJNA533159
GSE116221,Charting DENR-dependent translation reinitiation uncovers predictive uORF features and links to circadian timekeeping via Clock,Mus musculus,,GPL17021,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116221/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA477799,PRJNA477799
GSE123564,Mammalian Hbs1L deficiency causes Pelota depletion and is associated with a unique phenotype,Homo sapiens,,GPL18573,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123564/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA509230,PRJNA509230
GSE99585,Leucine differentially regulates gene-specific translation in mouse skeletal muscle,Mus musculus,,GPL13112,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99585/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA388919,PRJNA388919
GSE90920,Ubiquitination of Stalled Ribosome Triggers Ribosome-associated Quality Control,Saccharomyces cerevisiae,,GPL21656,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90920/,,
GSE86482,Proteomic and genomic characterization of a yeast model for Ogden syndrome,Saccharomyces cerevisiae,,['GPL10045'],22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86482/,,
GSE59820,Ribosome profiling on sections taken from a kidney tumor,Homo sapiens,,['GPL11154'],22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59820/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA256316,PRJNA256316
GSE72463,Advancing Trypanosoma brucei genome annotation through ribosome profiling and spliced leader mapping,Trypanosoma brucei,,GPL10599,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72463/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA294100,PRJNA294100
GSE66054,MicroRNA-203 represses selection and expansion of oncogenic HRas transformed tumor initiating cells [seq],Mus musculus,,GPL13112,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66054/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA275789,PRJNA275789
GSE56622,Ribosome profiling upon glucose starvation in S. cerevisiae,Saccharomyces cerevisiae,,['GPL13821'],22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56622/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA244101,PRJNA244101
GSE58423,Musashi proteins are post-transcriptional regulators of the epithelial-luminal cell state,Mus musculus,,GPL13112,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58423/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA252579,PRJNA252579
GSE57336,Stage-specific regulation of translation revealed by ribosome profiling of Trypanosoma brucei,Trypanosoma brucei,,GPL10599,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57336/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA246300,PRJNA246300
GSE34743,Ribosome profiling of early zebrafish embryos -- miRNA-mediated regulation during embryogenesis causes translational repression before mRNA decay,Danio rerio,,GPL9319,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34743/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA150397,PRJNA150397
GSE200491,Ribosome profiling and RNA-seq of an acute glucose starvation timecourse and 5 day growth course in S. cerevisiae,Saccharomyces cerevisiae,,GPL17342,21,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE200nnn/GSE200491/,,
GSE143301,Ribosome profiling under ABCE1 depletion to study aberrant translation termination,Homo sapiens,,GPL16791,21,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143301/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA599943,PRJNA599943
GSE129128,Cue2 and Slh1 define parallel pathways to rescue stalled ribosomes,Saccharomyces cerevisiae,,GPL17342,21,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129128/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA530200,PRJNA530200
GSE119365,Iron and Heme Coordinate Erythropoiesis through HRI-Mediated Regulation of Protein Translation and Gene Expression,Mus musculus,,GPL13112,21,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119365/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA488955,PRJNA488955
GSE95211,Evolutionary Convergence of Pathway-specific Enzyme Expression Stoichiometry,Bacillus subtilis subsp. subtilis str. 168; Escherichia coli str. K-12 substr. MG1655; Caulobacter vibrioides; Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,,7 related Platforms,21,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95211/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA376419,PRJNA376419
GSE99920,Transcriptional and ribosome profiling of Drosophila 3rd instar larvae muscle,Drosophila melanogaster,,GPL19132,21,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99920/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA390134,PRJNA390134
GSE98623,"miCLIP, RNA-Seq, and Ribo-Seq in MOLM13 cells",Homo sapiens,,GPL16791,21,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98623/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA385767,PRJNA385767
GSE25626,Initiation Pausing of 80S Ribosome on mRNA Is Governed by 5'UTR and Responsive to mTORC1 Signaling (RNA-Seq),Mus musculus,,GPL9185,21,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25626/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA142427,PRJNA142427
GSE181040,Dynamic O-GlcNAcylation of eIF3a controls translation reinitiation during integrated stress response,Mus musculus,,GPL17021,20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181040/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA750456,PRJNA750456
GSE161319,N7-methylguanosine tRNA modification enhances oncogenic mRNA translation and promotes intrahepatic cholangiocarcinoma progression,Homo sapiens,,"['GPL20795', 'GPL30209']",20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161319/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA677870,PRJNA677870
GSE155447,RNA-seq and Ribo-seq analysis of the effects of METTL3/14 depletion on gene expression during the interferon response in Huh7 cells,Homo sapiens,,['GPL18573'],20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155447/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA649776,PRJNA649776
GSE124115,Translational Regulation of Metabolic Dynamics during Effector-Triggered Immunity,Arabidopsis thaliana,,GPL13222,20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124115/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA510796,PRJNA510796
GSE161059,Mettl3-/Mettl14-mediated mRNA N6-methyladenosine modulates murine spermatogenesis,Mus musculus,,GPL13112,20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161059/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA675749,PRJNA675749
GSE120533,In vivo RNAi mediated knockdown of translation initiation factor eIF3m is associated with alterations in ribosome biogenesis [RNAseq/Riboseq],Mus musculus,,['GPL19057'],20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120533/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA493293,PRJNA493293
GSE133370,Pairs of amino acids at the P- and A-sites of the ribosome predictably and causally modulate translation-elongation rates,Saccharomyces cerevisiae,,GPL13821,20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133370/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA551280,PRJNA551280
