Accession	Organism	Samples	Type	Platform	Title	Year	Summary	Link	Paper_title	Journal	Impact factor 2018	doi or pubmed id	All references	Type of molecule	BioProject link (NCBI)	BioProject link (EBI)	SRA
GSE128947	Mus musculus	33	Other	GPL18635	Developmental changes of rRNA ribose methylations in the mouse	2019-03-27	A sequencing-based profiling method (RiboMeth-seq) for ribose methylations was used to study methylation patterns in mouse adult tissues and during development. In contrast to previous reports based on studies of human cancer cell lines, almost all methylation sites were close to fully methylated in adult tissues. A subset of sites was differentially modified in developing tissues compared to their adult counterparts and showed clear developmental dynamics. This provides the first evidence for ribosome heterogeneity at the level of rRNA modifications during mouse development. In a prominent example, the expression levels of SNORD78 during development appeared to be regulated by alternative splicing of the Gas5 host-gene and to correlate with the methylation level of its target site at LSU-G4593. The results are discussed in the context of the specialized ribosome hypothesis.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128947	Developmental changes of rRNA ribose methylations in the mouse.	RNA biology	5.477	https://doi.org/10.1080/15476286.2019.1670598	{RNA biology (5.477): 10.1080/15476286.2019.1670598}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA529461	https://www.ebi.ac.uk/ena/browser/view/PRJNA529461	https://www.ncbi.nlm.nih.gov/sra?term=SRP189642
GSE115647	Homo sapiens	4	Expression profiling by high throughput sequencing	GPL16791	The LIN28B-IMP1 post-transcriptional regulon has opposing effects on oncogenic  signaling in the intestine	2018-06-12	Aim: RNA binding proteins (RBPs) are expressed broadly during both development and malignant transformation, yet their mechanistic roles in epithelial homeostasis or as drivers of tumor initiation and progression are incompletely understood. Method: Here we describe a novel interplay between RBPsLIN28B and IMP1 in intestinal epithelial cells. Ribosome-profiling and RNA-sequencing identifies IMP1 as a principle nodefor gene expression regulation downstream of LIN28B. Results: In vitro and in vivo data demonstrate that epithelial IMP1 loss increases expression of WNT target genes and enhances LIN28B-mediated intestinal tumorigenesis, which was reversed when we overexpressed IMP1 independently in vivo. Furthermore, IMP1 loss in wild type or LIN28B-overexpressing mice enhancesthe regenerative response to irradiation. Conclusions: Together, our data provide new evidence for the opposing effects of the LIN28B-IMP1 axis on post-transcriptional regulation of canonical WNT signaling, with implications in intestinal homeostasis, regeneration and tumorigenesis.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115647	The LIN28B-IMP1 post-transcriptional regulon has opposing effects on oncogenic signaling in the intestine.	Genes & development	8.99	https://doi.org/10.1101/gad.314369.118	{Genes & development (8.990): 10.1101/gad.314369.118}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA475675	https://www.ebi.ac.uk/ena/browser/view/PRJNA475675	https://www.ncbi.nlm.nih.gov/sra?term=SRP150308
GSE81802	Homo sapiens	13	Other; Expression profiling by high throughput sequencing	GPL11154; GPL20301	Translational profiling of B cells infected with the Epstein-Barr virus reveals 5’ leader ribosome recruitment through upstream open reading frames	2016-05-23	The Epstein-Barr virus (EBV) genome encodes several hundred transcripts. Using total RNA sequencing and ribosome profiling, we have characterized the transcriptional and translational scope of B cells infected with EBV. We could show that viral transcripts are translated at variable efficiency and that several viral genes show ribosome recruitment to the 5’ leader region of mRNAs. We used two different virus strains with differing in vitro characteristics to study EBV translation and could show that in cells infected with the weakly replicating EBV strain some lytic genes showed evidence of monosomal ribosome recruitment mainly in the 5’ leader region and on start codons in the absence of protein production. Finally, we could identify 25 novel upstream open reading frames that potentially regulate the translation efficiency of some viral genes.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81802	None	None	None	None	None	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA322561	https://www.ebi.ac.uk/ena/browser/view/PRJNA322561	https://www.ncbi.nlm.nih.gov/sra?term=SRP075585
GSE69921	Homo sapiens	3	Other	GPL16791	Ribosome profiling of control and leucine-starved SUM159 cells	2015-06-16	SUM159 cells were either grown in standard medium or in leucine-depleted medium, or in medium containing 20% of the standard concentration of leucine	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69921	None	None	None	None	None	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA287136	https://www.ebi.ac.uk/ena/browser/view/PRJNA287136	https://www.ncbi.nlm.nih.gov/sra?term=SRP059546
GSE59820	Homo sapiens	22	Other	GPL11154; GPL16791	Ribosome profiling on sections taken from a kidney tumor	2014-07-28	Ribosome profiling on sections taken from a kidney tumor	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59820	Tumour-specific proline vulnerability uncovered by differential ribosome codon reading.	Nature	43.07	https://doi.org/10.1038/nature16982	{Nature (43.070): 10.1038/nature16982}	'total RNA', 'polyA RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA256316	https://www.ebi.ac.uk/ena/browser/view/PRJNA256316	https://www.ncbi.nlm.nih.gov/sra?term=SRP044937
GSE125686	Homo sapiens	62	Expression profiling by high throughput sequencing	GPL11154; GPL16791; GPL18573	Transcriptomic profiling of peripheral blood NK cells of chronic HBV, HCV and HIV patients	2019-01-25	Background: NK cells during chronic viral infection have been well studied over the last decade. We performed an unbiased next-generation RNA-sequencing approach to identify commonalities or differences of the effect of HIV, HCV and HBV viremia on NK cell transcriptomes. Methods: Using cell sorting, we obtained CD3-CD56+ NK cells from blood of 6 HIV, 11 HCV, and 32 HBV infected and untreated patients. Library preparation and sequencing were done using Illumina mRNA-Seq Sample Prep Kit and the HiSeq 2000, HiSeq2500 or NextSeq 500, and further analysis by an in-house analytic pipeline. Results: In NK cells from HIV, HCV and HBV patients, transcriptome analysis identified 272, 53, and 56 differentially expressed genes, respectively (fold change >1.5, q-value 0.2). Interferon stimulated genes were induced in NK cells from HIV/HCV patients, but not during HBV infection. HIV viremia downregulated ribosome assembly genes in NK cells. In HBV, viral load and ALT variation had little effect on genes related to NK effector function. Conclusion: We compare, for the first time, NK cell transcripts of viremic HIV, HCV and HBV patients. We clearly demonstrate distinctive NK cell gene signatures in 3 different populations, suggestive for a different degree of functional alterations of the NK cell compartment as compared to healthy individuals.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125686	Persistent Replication of HIV, Hepatitis C Virus (HCV), and HBV Results in Distinct Gene Expression Profiles by Human NK Cells.	Journal of virology	4.324	https://doi.org/10.1128/JVI.00575-18	{Journal of virology (4.324): 10.1128/JVI.00575-18}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA517165	https://www.ebi.ac.uk/ena/browser/view/PRJNA517165	https://www.ncbi.nlm.nih.gov/sra?term=SRP182096
GSE64304	Saccharomyces cerevisiae	4	Non-coding RNA profiling by high throughput sequencing	GPL17342	Parkinson's disease genes VPS35 and EIF4G1 interact genetically and converge on alpha-synuclein	2014-12-18	Parkinson's disease (PD) is a common human neurodegenerative movement disorder. Studies of the genetic forms of PD have helped to reveal disease mechanisms. Functional interactions between some Parkinson's disease (PD) genes, like PINK1 and parkin, have been identified, but whether other ones interact remains elusive. Here we report an unexpected genetic interaction between two PD genes, VPS35 and EIF4G1. We provide evidence that EIF4G1 upregulation causes defects associated with protein misfolding. Expression of a sortilin protein rescues these defects, downstream of VPS35, suggesting a potential role for sortilins in PD. We also show interactions between VPS35, EIF4G1 and alpha-synuclein, a protein with a key role in the pathogenesis of both sporadic and familial PD. We extend our findings from yeast to an animal model and show these interactions are conserved in neurons. We also connect VPS35 impairments to neurodegeneration in alpha-synuclein transgenic mice. Our studies reveal unexpected genetic and functional interactions between two seemingly unrelated PD genes and functionally connect them to alpha-synuclein pathobiology in yeast, worms, and mouse. Finally, we provide a resource of candidate PD genes for future genetic and functional interrogation.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64304	Parkinson's disease genes VPS35 and EIF4G1 interact genetically and converge on α-synuclein.	Neuron	14.403	https://doi.org/10.1016/j.neuron.2014.11.027	{Neuron (14.403): 10.1016/j.neuron.2014.11.027}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA270712	https://www.ebi.ac.uk/ena/browser/view/PRJNA270712	https://www.ncbi.nlm.nih.gov/sra?term=SRP051314
GSE129700	Homo sapiens	22	Genome binding/occupancy profiling by high throughput sequencing	GPL11154	Super-enhancer redistribution as a mechanism of broad gene dysregulation in repeatedly drug-treated cancer cells [dataset 1]	2019-04-12	We provide a series of chromatin and transcriptomic profiles to establish the short-term and long-term effects of cisplatin treatment in ovarian cancer A2780 cells.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129700	Super-Enhancer Redistribution as a Mechanism of Broad Gene Dysregulation in Repeatedly Drug-Treated Cancer Cells.	Cell reports	7.815	https://doi.org/10.1016/j.celrep.2020.107532	{Cell reports (7.815): 10.1016/j.celrep.2020.107532}	'genomic DNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA532531	https://www.ebi.ac.uk/ena/browser/view/PRJNA532531	https://www.ncbi.nlm.nih.gov/sra?term=SRP192313
GSE63570	Homo sapiens	11	Expression profiling by high throughput sequencing	GPL11154	High-throughput sequencing of pluripotent cells	2014-11-21	We report HERV-K rec iCLIP-seq binding data, ribosome profiling data, and RNA-seq from ELF1 naïve hESC and RNA-seq from NCCIT cells.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63570	Intrinsic retroviral reactivation in human preimplantation embryos and pluripotent cells.	Nature	43.07	https://doi.org/10.1038/nature14308	{Nature (43.070): 10.1038/nature14308}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA268222	https://www.ebi.ac.uk/ena/browser/view/PRJNA268222	https://www.ncbi.nlm.nih.gov/sra?term=SRP050147
GSE70802	Homo sapiens	12	Other	GPL16791	Profiles of ribosome-associated mRNAs regulated by expression of wild-type (WT) or R534H variant of DDX3 with or without Sodium Arsenite treatment [Ribo-Seq]	2015-07-11	By using ribosome profiling, we demonstrate that catalytic activity of the RNA helicase DDX3 is generally required for mediating translation repression under stress. Intriguingly, however, a cancer-related DDX3 variant DDX3 R534H selectively preserves translation of genes encoding core nucleosome components. Additionally, DDX3 variants also shift ORF usage on select genes, such as RPLP1 and stress-response factors as an added mechanism of translation regulation during stress. Thus, DDX3 through both extensive and selective interactions with RNA and the ribosomal machinery helps to remodel the translational landscape under stress and in cancer.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70802	Medulloblastoma-associated DDX3 variant selectively alters the translational response to stress.	Oncotarget	None	https://doi.org/10.18632/oncotarget.8612	{Oncotarget (None): 10.18632/oncotarget.8612}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA289569	https://www.ebi.ac.uk/ena/browser/view/PRJNA289569	https://www.ncbi.nlm.nih.gov/sra?term=SRP060676
GSE71898	Homo sapiens	8	Expression profiling by high throughput sequencing; Other	GPL11154	AKT Inhibition Promotes Non-autonomous Cancer Cell Survival [GRO-Seq]	2015-08-10	Small-molecule inhibitors of AKT signaling are being in evaluated in patients with various cancer types, but have so far proven therapeutically disappointing for reasons that remain unclear. Here, we treat cancer cells with sub-therapeutic doses of Akti-1/2, an allosteric small molecule AKT inhibitor, in order to experimentally model pharmacologic inhibition of AKT signaling in vitro. We then apply a combined RNA, protein, and metabolite profiling approach to develop an integrated, multi-scale, molecular snapshot of this “AKTlow” cancer cell state. We find that AKT-inhibited cancer cells suppress thousands of mRNA transcripts, and proteins related to the cell cycle, ribosome, and protein translation. Surprisingly, however, these AKT-inhibited cells simultaneously up-regulate a host of other proteins and metabolites post-transcriptionally, reflecting activation of their endo-vesiculo-membrane system, secretion of inflammatory proteins, and elaboration of extracellular microvesicles. Importantly, these microvesicles enable rapidly proliferating cancer cells of various types to better withstand different stress conditions, including serum deprivation, hypoxia, or cytotoxic chemotherapy in vitro and xenografting in vivo. These findings suggest a model whereby cancer cells experiencing a partial inhibition of AKT signaling may actually promote the survival of neighbors through non-cell autonomous communication.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71898	AKT Inhibition Promotes Nonautonomous Cancer Cell Survival.	Molecular cancer therapeutics	4.856	https://doi.org/10.1158/1535-7163.MCT-15-0414	{Molecular cancer therapeutics (4.856): 10.1158/1535-7163.MCT-15-0414}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA292421	https://www.ebi.ac.uk/ena/browser/view/PRJNA292421	https://www.ncbi.nlm.nih.gov/sra?term=SRP062229
GSE68008	Homo sapiens	2	Expression profiling by high throughput sequencing; Other	GPL16791	Methods comparison for ribosome profiling	2015-04-17	Assessment of the effecacy of direction extraction of ribosome-protected mRNA fragments for ribosome profiling	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68008	Simple and inexpensive ribosome profiling analysis of mRNA translation.	Methods (San Diego, Calif.)	3.782	https://doi.org/10.1016/j.ymeth.2015.07.003	{Methods (San Diego, Calif.) (3.782): 10.1016/j.ymeth.2015.07.003}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA281481	https://www.ebi.ac.uk/ena/browser/view/PRJNA281481	https://www.ncbi.nlm.nih.gov/sra?term=SRP057384
GSE6043	Homo sapiens	9	Expression profiling by array	GPL4454	Translation initiation factor 4E confers primary human cells with neoplastic properties	2006-10-16	Deregulation of translational control is an obligatory step in oncogenesis; however, this step has not been addressed by prior genomic and transcriptional profiling studies of cancer biology. Here we simulate the translational deregulation found in cancer by ectopically over expressing translation initiation factor eIF4E in primary human mammary epithelial cells; and examine its impact on cell biology and the pattern of ribosomal recruitment to mRNA genome wide. Over expression of eIF4E allows cells to bypass M0 premature growth arrest, but does not confer other malignant properties. However, in concert with hTERT, eIF4E imparts cells with growth and survival autonomy - and profoundly alters the pattern of polyribosome-associated mRNA encoding cell cycle and apoptosis regulators. The translational response to increased eIF4E is not only a unidirectional activation of oncogenic drivers, but also consists of complex intrinsic translational mechanisms that mitigate the acquisition of neoplastic properties. Keywords: Cell line comparison using both total and polyribosomal RNA	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6043	Eukaryotic translation initiation factor 4E induced progression of primary human mammary epithelial cells along the cancer pathway is associated with targeted translational deregulation of oncogenic drivers and inhibitors.	Cancer research	8.378	https://doi.org/10.1158/0008-5472.CAN-07-0752	{Cancer research (8.378): 10.1158/0008-5472.CAN-07-0752}	'other', 'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA97777	https://www.ebi.ac.uk/ena/browser/view/PRJNA97777	None
GSE110323	Homo sapiens; Mus musculus	119	Genome binding/occupancy profiling by high throughput sequencing; Methylation profiling by high throughput sequencing; Expression profiling by high throughput sequencing	GPL16791; GPL20301; GPL21103	Histone H3 Trimethylation at Lysine 36 (H3K36me3) Guides m6A RNA Modification	2018-02-08	This SuperSeries is composed of the SubSeries listed below.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110323	Histone H3 trimethylation at lysine 36 guides m<sup>6</sup>A RNA modification co-transcriptionally.	Nature	43.07	https://doi.org/10.1038/s41586-019-1016-7	{Nature (43.070): 10.1038/s41586-019-1016-7}	'genomic DNA', 'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA433476	https://www.ebi.ac.uk/ena/browser/view/PRJNA433476	None
GSE134865	Homo sapiens	12	Other	GPL18573	Transcriptome-wide analysis of RNA structure in MCF7 cells with and without inhibition of eIF4A by hippuristanol treatment	2019-07-25	Translational dysregulation is an emerging hallmark of cancer, and increased activity of the mRNA helicase eIF4A is associated with poor survival in malignancies. This is believed to be due to the unwinding of secondary structures within the 5’UTRs of oncogenic mRNAs, with studies showing that in general eIF4A-dependent mRNAs have longer 5’UTRs with more stable secondary structures, yet our ability to predict eIF4A-dependency from 5’UTR properties alone remains poor. We therefore used Structure-seq 2 to measure transcriptome-wide changes in RNA structure in MCF7 cells, following eIF4A inhibition with hippuristanol. This technique measures the single-strandedness of RNA by specific and rapid methylation of single-stranded adenosines and cytosines with Dimethyl Sulphate (DMS). When paired with polysome profiling data to identify which mRNAs are most translationally repressed, we can identify the structural determinants of eIF4A-dependency. Upon eIF4A inhibition, both 5’UTRs and CDSs become generally more structured, while overall this was not observed for 3’UTRs. This was most pronounced in CDSs, supporting recent findings that the ribosome sculpts RNA structure in this region. 5’UTRs are generally more structured at their 5’ ends and highly translated mRNAs are less structured just upstream of the CDS. Following eIF4A inhibition, the 5’UTR is remodelled. eIF4A-dependent mRNAs have greater localised gains of structure. The degree of these structural changes is strongly correlated with 5’UTR length, explaining why eIF4A-dependent mRNAs have longer 5’UTRs. Crucially, in eIF4A-dependent mRNAs these highly-structured elements are located predominantly at the 3’ end of the 5’UTR, suggesting that increased structure just upstream of the CDS is most inhibitory to translation following eIF4A inhibition and is a key determinant of eIF4A-dependency.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134865	mRNA structural elements immediately upstream of the start codon dictate dependence upon eIF4A helicase activity.	Genome biology	14.028	https://doi.org/10.1186/s13059-019-1901-2	{Genome biology (14.028): 10.1186/s13059-019-1901-2}	'polyA RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA556678	https://www.ebi.ac.uk/ena/browser/view/PRJNA556678	https://www.ncbi.nlm.nih.gov/sra?term=SRP216397
GSE87888	Saccharomyces cerevisiae	4	Other	GPL13821	A novel translational control mechanism involving RNA structures within coding sequences	2016-10-12	The impact of RNA structures in coding sequences (CDS) within mRNAs is poorly understood. Here we identify a novel and highly conserved mechanism of translational control involving RNA structures within coding sequences and the DEAD-box helicase Dhh1. Using yeast genetics and genome-wide ribosome profiling analyses we show that this mechanism, initially derived from studies of the Brome Mosaic virus RNA genome, extends to yeast and human mRNAs highly enriched in membrane and secreted proteins. All Dhh1-dependent mRNAs, viral and cellular, share key common features. First, they contain long and highly structured CDSs, including a region located around nucleotide 70 after the translation initiation site, second, they are directly bound by Dhh1 with a specific binding distribution and third, complementary experimental approaches suggest that they are activated by Dhh1 at the translation initiation step. Our results show that ribosome translocation is not the only unwinding force of CDS and uncover a novel layer of translational control that involves RNA helicases and RNA folding within CDS providing novel opportunities for regulation of membrane and secretome proteins.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87888	A novel translational control mechanism involving RNA structures within coding sequences.	Genome research	9.944	https://doi.org/10.1101/gr.209015.116	{Genome research (9.944): 10.1101/gr.209015.116}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA348109	https://www.ebi.ac.uk/ena/browser/view/PRJNA348109	https://www.ncbi.nlm.nih.gov/sra?term=SRP091450
GSE138640	Homo sapiens	3	Expression profiling by high throughput sequencing	GPL16791	Stop Codon Context Influences Genome-Wide Stimulation of Termination Codon Readthrough by Aminoglycosides [Dataset 3]	2019-10-09	Stop codon readthrough (SCR) occurs when the ribosome miscodes at a stop codon. Such readthrough events can be therapeutically desirable when a premature termination codon (PTC) is found in a critical gene. To study SCR in vivo in a genome-wide manner, we treated mammalian cells with aminoglycosides and performed ribosome profiling. We find that in addition to stimulating readthrough of PTCs, aminoglycosides stimulate readthrough of normal termination codons (NTCs) genome-wide. Stop codon identity, the nucleotide following the stop codon, and the surrounding mRNA sequence context all influence the likelihood of SCR. In comparison to NTCs, downstream stop codons in 3′UTRs are recognized less efficiently by ribosomes, suggesting that targeting of critical stop codons for readthrough may be achievable without general disruption of translation termination. Finally, we find that G418 treatment globally alters gene expression with substantial effects on translation of histone genes, selenoprotein genes, and S-adenosylmethionine decarboxylase (AMD1).	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138640	Stop codon context influences genome-wide stimulation of termination codon readthrough by aminoglycosides.	eLife	7.551	https://doi.org/10.7554/eLife.52611	{eLife (7.551): 10.7554/eLife.52611}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA576651	https://www.ebi.ac.uk/ena/browser/view/PRJNA576651	https://www.ncbi.nlm.nih.gov/sra?term=SRP224954
GSE128320	Homo sapiens	2	Other	GPL20795	The ribosome profiling strategy for monitoring translation in vivo by deep sequencing of ribosome-protected mRNA fragments in HuH-7 cells	2019-03-14	To globally analyse the lncRNAs with potential coding ability of HCC cells, we performed Ribo-seq using HuH-7 cells. The cycloheximide (CHX) was added to inhibit the translational elongation of ribosomes of the HuH-7 cells.Furthermore,we identified the candidate ORFs with the selected RPF reads using the RiboCode software.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128320	Ribosome profiling analysis identified a KRAS-interacting microprotein that represses oncogenic signaling in hepatocellular carcinoma cells.	Science China. Life sciences	None	https://doi.org/10.1007/s11427-019-9580-5	{Science China. Life sciences (None): 10.1007/s11427-019-9580-5}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA527113	https://www.ebi.ac.uk/ena/browser/view/PRJNA527113	https://www.ncbi.nlm.nih.gov/sra?term=SRP188452
GSE126382	Mus musculus	24	Non-coding RNA profiling by high throughput sequencing	GPL17021	Modeling ribosome dwell times and relationship with tRNA loading and codon usage in mammals (tRNA Profiling)	2019-02-11	Protein translation depends on mRNA-specific initiation, elongation, and termination rates. While the regulation of ribosome elongation is well studied in bacteria and yeast, less is known in higher eukaryotes. Here, we combined ribosome and tRNA profiling to investigate the relations between ribosome elongation rates, (aminoacyl-) tRNA levels and codon usage in mammals. We modeled codon-specific ribosome dwell times and translation fluxes from ribosome profiling, considering pair-interactions between ribosome sites. In mouse liver, the model revealed site and codon specific dwell times, as well as codon pair-interactions clustering by amino acids. While translation fluxes varied significantly across diurnal time and feeding regimen, codon dwell times were highly stable, and conserved in human. Fasting had no effect on codon dwell times in mouse liver. Profiling of total and aminoacylated tRNAs revealed highly heterogeneous levels with specific isoacceptor patterns and a correlation with codon usage. tRNAs for isoleucine, asparagine, aspartate and arginine were lowly loaded and conserved in fasted mice. Finally, codons with low levels of charged tRNAs and high codon usage relative to tRNA abundance exhibited long dwell times. Together, these analyses pave the way towards understanding the complex relation between tRNA loading, codon usage and ribosome dwell times in mammals.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126382	Robust landscapes of ribosome dwell times and aminoacyl-tRNAs in response to nutrient stress in liver.	Proceedings of the National Academy of Sciences of the United States of America	9.58	https://doi.org/10.1073/pnas.1918145117	{Proceedings of the National Academy of Sciences of the United States of America (9.580): 10.1073/pnas.1918145117}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA521743	https://www.ebi.ac.uk/ena/browser/view/PRJNA521743	https://www.ncbi.nlm.nih.gov/sra?term=SRP185476
GSE112305	Homo sapiens	4	Expression profiling by high throughput sequencing	GPL16791	Post-transcriptional regulation of the epithelial cell response to colitis	2018-03-25	Aim: RNA binding proteins (RBPs) are emerging as critical regulators of gut homeostasis via post-transcriptional control of key growth and repair pathways. IMP1 (IGF2 mRNA Binding Protein 1) is ubiquitously expressed during embryonic development and Imp1 hypomorphic mice exhibit severe gut growth defects. In the present study, we investigated the mechanistic contribution of intestinal epithelial IMP1 to gut homeostasis and response to injury. Method: We evaluated IMP1 expression in patients with Crohn’s disease followed by unbiased ribosome profiling in IMP1 knockout cells. Concurrently, we measured differences in histology and cytokine expression in mice with intestinal epithelial-specific Imp1 deletion (Imp1ΔIEC) following dextran sodium sulfate (DSS)- colitis. Based on ribosome profiling analysis, we evaluated changes in autophagy in Imp1ΔIEC mice as well as in silico and in vitro approaches to evaluate direct protein:RNA interactions. Finally, we analyzed the consequence of genetic deletion of Atg7 in Imp1ΔIEC mice using colitis and irradiation models. Results: IMP1 was robustly upregulated in Crohn’s disease patients and Imp1 loss lessened DSS-colitis severity. Unbiased ribosome-profiling revealed that IMP1 may coordinate translation of multiple pathways important for intestinal homeostasis, including cell cycle and autophagy, which we verified by Western blotting. Mechanistically, we observed evidence for increased autophagy flux in Imp1ΔIEC mice, reinforced through in silico and biochemical analyses revealing direct binding of IMP1 to autophagy transcripts. Finally, we found genetic deletion of Atg7 reversed the phenotype observed in DSS- or irradiation-challenged Imp1ΔIEC mice. Conclusions: IMP1 acts as a post-transcriptional regulator of gut epithelial repair, in part through modulation of autophagy. This study highlights the need for examining post-transcriptional regulation as a critical mechanism in inflammatory bowel disease.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112305	Posttranscriptional regulation of colonic epithelial repair by RNA binding protein IMP1/IGF2BP1.	EMBO reports	8.383	https://doi.org/10.15252/embr.201847074	{EMBO reports (8.383): 10.15252/embr.201847074}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA445600	https://www.ebi.ac.uk/ena/browser/view/PRJNA445600	https://www.ncbi.nlm.nih.gov/sra?term=SRP136411
GSE119886	Homo sapiens	6	Other	GPL16686	The tumor suppressor BRCA1 is a translational regulator	2018-09-12	BRCA1 inactivation is a hallmark of familial breast cancer, often encountered in aggressive triple negative breast cancers. BRCA1 is a tumor suppressor with known functions in DNA repair, transcription regulation, cell cycle control, and apoptosis. In the present study, we demonstrate that BRCA1 is also a translational regulator. Based on the combination of RNA-binding protein immunoprecipitation and microarray analysis, as well as polysome profiling, we identified a subset of mRNAs translationally regulated by BRCA1 and coding for proteins whose functions play major role in cancer. We found that the level of these key proteins is similarly controlled in human mammary tumors according to their BRCA1-status. Therefore, our results propose translational control as a novel molecular mechanism with clinical relevance through which BRCA1 is a tumor suppressor.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE119886	Uncovering the Translational Regulatory Activity of the Tumor Suppressor BRCA1.	Cells	5.656	https://doi.org/10.3390/cells9040941	{Cells (5.656): 10.3390/cells9040941}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA490557	https://www.ebi.ac.uk/ena/browser/view/PRJNA490557	None
GSE153716	Homo sapiens	4	Expression profiling by array	GPL16686	TMBIM6/BI-1 contributes to cancer progression through assembly with mTORC2 and AKT activation	2020-07-02	Transmembrane B cell lymphoma 2-associated X protein inhibitor motif-containing (TMBIM) 6, a Ca2+ channel-like protein, is highly upregulated in several cancer types. Here, we show that TMBIM6 is closely associated with survival in patients with cervical, breast, lung, and prostate cancer. TMBIM6 deletion or knockdown suppressed primary tumor growth. Further, mTORC2 activation was up-regulated by TMBIM6 and stimulated glycolysis, protein synthesis, and the expression of lipid synthesis genes and glycosylated proteins. Moreover, ER-leaky Ca2+ from TMBIM6, a unique characteristic, was shown to affect mTORC2 assembly and its association with ribosomes. In addition, we identified that BIA compound, a suggestive TMBIM6 antagonist, prevented TMBIM6 binding to mTORC2, decreased mTORC2 activity, and also regulated TMBIM6-leaky Ca2+, further suppressing tumor formation and progression in cancer xenograft models. This previously unknown signaling cascade in which mTORC2 activity is enhanced via the interaction with TMBIM6 provides effective therapeutic targets for various malignancies. We used microarrays to detail the global of gene expression and identified that most of the differentially expressed genes related to apoptotic process, migration, proliferation, and metabolic pathways were decreased in TMBIM6 KO HT1080 cells	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153716	TMBIM6/BI-1 contributes to cancer progression through assembly with mTORC2 and AKT activation.	Nature communications	11.878	https://doi.org/10.1038/s41467-020-17802-4	{Nature communications (11.878): 10.1038/s41467-020-17802-4}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA643795	https://www.ebi.ac.uk/ena/browser/view/PRJNA643795	None
